month,month_year,provider_name,lane,on_time_pct,avg_cost_per_kg,avg_lead_time_days,total_revenue_eur
2024-04,2024-04-01,DHL Freight,Eindhoven → Warsaw,100.00000,0.4100,3.40,2480.00
2024-03,2024-03-01,DHL Freight,Eindhoven → Warsaw,100.00000,0.4140,3.50,1960.00
2024-02,2024-02-01,DHL Freight,Eindhoven → Warsaw,77.77778,0.4250,3.90,2340.00
2024-01,2024-01-01,DHL Freight,Eindhoven → Warsaw,100.00000,0.4180,3.60,1880.00
2024-04,2024-04-01,DHL Freight,Rotterdam → Paris,100.00000,0.3590,2.00,3210.00
2024-03,2024-03-01,DHL Freight,Rotterdam → Paris,90.00000,0.3650,2.10,2680.00
2024-02,2024-02-01,DHL Freight,Rotterdam → Paris,100.00000,0.3580,1.90,2940.00
2024-01,2024-01-01,DHL Freight,Rotterdam → Paris,100.00000,0.3620,2.00,2478.00
2024-04,2024-04-01,DHL Freight,Amsterdam → Frankfurt,86.66667,0.3190,1.60,3650.00
2024-03,2024-03-01,DHL Freight,Amsterdam → Frankfurt,84.61538,0.3280,1.70,3180.00
2024-02,2024-02-01,DHL Freight,Amsterdam → Frankfurt,92.85714,0.3150,1.50,3420.00
2024-01,2024-01-01,DHL Freight,Amsterdam → Frankfurt,91.66667,0.3220,1.60,2840.00
2024-04,2024-04-01,DB Schenker,Eindhoven → Warsaw,92.85714,0.3820,3.30,3580.00
2024-03,2024-03-01,DB Schenker,Eindhoven → Warsaw,100.00000,0.3800,3.20,2940.00
2024-02,2024-02-01,DB Schenker,Eindhoven → Warsaw,100.00000,0.3760,3.10,3210.00
2024-01,2024-01-01,DB Schenker,Eindhoven → Warsaw,100.00000,0.3840,3.20,2680.00
2024-04,2024-04-01,DB Schenker,Rotterdam → Paris,100.00000,0.3310,2.00,3050.00
2024-03,2024-03-01,DB Schenker,Rotterdam → Paris,90.00000,0.3390,2.20,2510.00
2024-02,2024-02-01,DB Schenker,Rotterdam → Paris,100.00000,0.3280,2.00,2760.00
2024-01,2024-01-01,DB Schenker,Rotterdam → Paris,100.00000,0.3340,2.10,2180.00
2024-04,2024-04-01,DB Schenker,Amsterdam → Frankfurt,100.00000,0.2900,1.40,4020.00
2024-03,2024-03-01,DB Schenker,Amsterdam → Frankfurt,92.85714,0.2940,1.50,3410.00
2024-02,2024-02-01,DB Schenker,Amsterdam → Frankfurt,100.00000,0.2880,1.30,3820.00
2024-01,2024-01-01,DB Schenker,Amsterdam → Frankfurt,100.00000,0.2960,1.40,3150.00
2024-04,2024-04-01,Kuehne+Nagel,Eindhoven → Warsaw,100.00000,0.3980,3.30,2950.00
2024-03,2024-03-01,Kuehne+Nagel,Eindhoven → Warsaw,90.00000,0.4020,3.50,2420.00
2024-02,2024-02-01,Kuehne+Nagel,Eindhoven → Warsaw,100.00000,0.3950,3.30,2680.00
2024-01,2024-01-01,Kuehne+Nagel,Eindhoven → Warsaw,100.00000,0.4010,3.40,2180.00
2024-04,2024-04-01,Kuehne+Nagel,Rotterdam → Paris,92.30769,0.3380,2.00,3420.00
2024-03,2024-03-01,Kuehne+Nagel,Rotterdam → Paris,100.00000,0.3330,1.90,2710.00
2024-02,2024-02-01,Kuehne+Nagel,Rotterdam → Paris,100.00000,0.3290,1.80,3080.00
2024-01,2024-01-01,Kuehne+Nagel,Rotterdam → Paris,100.00000,0.3360,1.90,2480.00
2024-04,2024-04-01,Kuehne+Nagel,Amsterdam → Frankfurt,100.00000,0.2990,1.40,3760.00
2024-03,2024-03-01,Kuehne+Nagel,Amsterdam → Frankfurt,100.00000,0.3050,1.50,3180.00
2024-02,2024-02-01,Kuehne+Nagel,Amsterdam → Frankfurt,92.85714,0.3020,1.60,3480.00
2024-01,2024-01-01,Kuehne+Nagel,Amsterdam → Frankfurt,100.00000,0.3080,1.50,2940.00
