shipment_id,shipment_date,provider_name,lane,weight_kg,commodity_type,promised_delivery,actual_delivery,delay_days,total_cost_eur,actual_cost_per_kg,status,delay_reason,customer_complaint
40,2024-04-28,Kuehne+Nagel,Amsterdam → Frankfurt,1900.00,Chemical Products,2024-04-30,2024-04-30,0,555.75,0.2925,Delivered,NULL,0
39,2024-04-08,Kuehne+Nagel,Amsterdam → Frankfurt,550.00,Textiles,2024-04-10,2024-04-10,0,193.05,0.3510,Delivered,NULL,0
38,2024-03-22,Kuehne+Nagel,Amsterdam → Frankfurt,2100.00,Auto Parts,2024-03-25,2024-03-25,0,614.25,0.2925,Delivered,NULL,0
37,2024-03-02,Kuehne+Nagel,Amsterdam → Frankfurt,120.00,Electronics,2024-03-04,2024-03-04,0,50.54,0.4212,Delivered,NULL,0
36,2024-02-16,Kuehne+Nagel,Amsterdam → Frankfurt,1600.00,Machinery,2024-02-18,2024-02-19,1,561.60,0.3510,Delayed,Port congestion,0
35,2024-01-30,Kuehne+Nagel,Amsterdam → Frankfurt,850.00,Consumer Goods,2024-02-01,2024-02-01,0,298.35,0.3510,Delivered,NULL,0
34,2024-01-14,Kuehne+Nagel,Amsterdam → Frankfurt,280.00,Pharmaceuticals,2024-01-16,2024-01-16,0,117.94,0.4212,Delivered,NULL,0
24,2024-05-03,DB Schenker,Amsterdam → Frankfurt,75.00,Food Products,2024-05-05,2024-05-05,0,30.58,0.4077,Delivered,NULL,0
23,2024-04-20,DB Schenker,Amsterdam → Frankfurt,1500.00,Chemical Products,2024-04-22,2024-04-22,0,506.78,0.3379,Delivered,NULL,0
22,2024-04-05,DB Schenker,Amsterdam → Frankfurt,350.00,Textiles,2024-04-07,2024-04-07,0,118.25,0.3379,Delivered,NULL,0
21,2024-03-15,DB Schenker,Amsterdam → Frankfurt,650.00,Electronics,2024-03-17,2024-03-18,1,219.60,0.3378,Delayed,Vehicle breakdown,0
20,2024-02-28,DB Schenker,Amsterdam → Frankfurt,2800.00,Machinery,2024-03-02,2024-03-02,0,782.88,0.2796,Delivered,NULL,0
19,2024-02-12,DB Schenker,Amsterdam → Frankfurt,180.00,Pharmaceuticals,2024-02-14,2024-02-14,0,60.81,0.3378,Delivered,NULL,0
18,2024-01-25,DB Schenker,Amsterdam → Frankfurt,900.00,Auto Parts,2024-01-27,2024-01-27,0,304.07,0.3379,Delivered,NULL,0
17,2024-01-10,DB Schenker,Amsterdam → Frankfurt,400.00,Consumer Goods,2024-01-12,2024-01-12,0,135.14,0.3379,Delivered,NULL,0
8,2024-04-24,DHL Freight,Amsterdam → Frankfurt,150.00,Food Products,2024-04-26,2024-04-27,1,67.26,0.4484,Delayed,Driver shortage,0
7,2024-04-10,DHL Freight,Amsterdam → Frankfurt,980.00,Chemical Products,2024-04-12,2024-04-12,0,358.48,0.3658,Delivered,NULL,0
6,2024-03-28,DHL Freight,Amsterdam → Frankfurt,420.00,Textiles,2024-03-30,2024-03-30,0,153.64,0.3658,Delivered,NULL,0
5,2024-03-12,DHL Freight,Amsterdam → Frankfurt,2500.00,Consumer Goods,2024-03-14,2024-03-15,1,767.00,0.3068,Delayed,Customs delay,1
4,2024-02-19,DHL Freight,Amsterdam → Frankfurt,85.00,Pharmaceuticals,2024-02-21,2024-02-21,0,38.11,0.4484,Delivered,NULL,0
3,2024-02-05,DHL Freight,Amsterdam → Frankfurt,1200.00,Machinery,2024-02-07,2024-02-07,0,438.96,0.3658,Delivered,NULL,0
2,2024-01-22,DHL Freight,Amsterdam → Frankfurt,750.00,Auto Parts,2024-01-24,2024-01-25,1,274.35,0.3658,Delayed,Traffic congestion,0
1,2024-01-08,DHL Freight,Amsterdam → Frankfurt,320.00,Electronics,2024-01-10,2024-01-10,0,143.49,0.4484,Delivered,NULL,0
45,2024-04-22,Kuehne+Nagel,Rotterdam → Paris,4000.00,Machinery,2024-04-26,2024-04-26,0,1216.80,0.3042,Delivered,NULL,0
44,2024-04-02,Kuehne+Nagel,Rotterdam → Paris,1400.00,Consumer Goods,2024-04-05,2024-04-06,1,425.88,0.3042,Delayed,Strike action,1
43,2024-03-14,Kuehne+Nagel,Rotterdam → Paris,380.00,Pharmaceuticals,2024-03-16,2024-03-16,0,142.27,0.3744,Delivered,NULL,0
42,2024-02-03,Kuehne+Nagel,Rotterdam → Paris,2000.00,Machinery,2024-02-07,2024-02-07,0,608.40,0.3042,Delivered,NULL,0
41,2024-01-09,Kuehne+Nagel,Rotterdam → Paris,700.00,Electronics,2024-01-11,2024-01-11,0,262.08,0.3744,Delivered,NULL,0
28,2024-04-25,DB Schenker,Rotterdam → Paris,1000.00,Consumer Goods,2024-04-28,2024-04-28,0,384.45,0.3845,Delivered,NULL,0
27,2024-03-10,DB Schenker,Rotterdam → Paris,300.00,Pharmaceuticals,2024-03-13,2024-03-14,1,115.34,0.3845,Delayed,Driver illness,0
26,2024-02-22,DB Schenker,Rotterdam → Paris,2400.00,Machinery,2024-02-26,2024-02-26,0,754.92,0.3146,Delivered,NULL,0
25,2024-01-18,DB Schenker,Rotterdam → Paris,500.00,Electronics,2024-01-21,2024-01-21,0,192.23,0.3845,Delivered,NULL,0
12,2024-04-18,DHL Freight,Rotterdam → Paris,3200.00,Consumer Goods,2024-04-21,2024-04-21,0,1095.04,0.3422,Delivered,NULL,0
11,2024-03-05,DHL Freight,Rotterdam → Paris,250.00,Pharmaceuticals,2024-03-07,2024-03-08,1,103.25,0.4130,Delayed,Customs inspection,0
